"Station_ID","Latitude.x","Longitude.x","Data_Type","Start_Year","End_Year","Latitude.y","Longitude.y"
"ASN00008039",-30.2772,116.6619,"TAVG",1990,2023,"-30.2772","116.6619"
"ASN00008051",-28.7953,114.6975,"TAVG",1941,2023,"-28.7953","114.6975"
"ASN00009021",-31.9275,115.9764,"TAVG",1948,2023,"-31.9275","115.9764"
"ASN00009193",-32.0069,115.5022,"TAVG",1990,2023,"-32.0069","115.5022"
"ASN00009518",-34.3728,115.1358,"TAVG",1973,2023,"-34.3728","115.1358"
"ASN00009741",-34.9414,117.8022,"TAVG",1965,2023,"-34.9414","117.8022"
"ASN00009789",-33.83,121.8925,"TAVG",1969,2023,"-33.8300","121.8925"
"ASN00010286",-31.6219,117.2217,"TAVG",1998,2023,"-31.6219","117.2217"
"ASN00010917",-32.6722,116.6706,"TAVG",2001,2023,"-32.6722","116.6706"
"ASN00011003",-31.6797,128.8792,"TAVG",1990,2023,"-31.6797","128.8792"
"ASN00011052",-30.8453,128.1092,"TAVG",1993,2023,"-30.8453","128.1092"
"ASN00012038",-30.7847,121.4533,"TAVG",1939,2023,"-30.7847","121.4533"
"ASN00013017",-25.0341,128.301,"TAVG",1956,2023,"-25.0341","128.3010"
"ASN00014040",-12.4227,130.8844,"TAVG",1941,2023,"-12.4227","130.8844"
"ASN00014508",-12.2741,136.8203,"TAVG",1985,2023,"-12.2741","136.8203"
"ASN00014932",-14.5229,132.3826,"TAVG",1990,2023,"-14.5229","132.3826"
"ASN00015135",-19.6423,134.1833,"TAVG",1969,2023,"-19.6423","134.1833"
"ASN00015548",-20.1883,130.0161,"TAVG",2001,2023,"-20.1883","130.0161"
"ASN00015590",-23.7951,133.889,"TAVG",1942,2023,"-23.7951","133.8890"
"ASN00016001",-31.1558,136.8054,"TAVG",1949,2023,"-31.1558","136.8054"
"ASN00016098",-30.7051,134.5786,"TAVG",1990,2023,"-30.7051","134.5786"
"ASN00017043",-27.5553,135.4456,"TAVG",1939,2023,"-27.5553","135.4456"
"ASN00021133",-33.7676,138.2182,"TAVG",2001,2023,"-33.7676","138.2182"
"ASN00022823",-35.7549,136.5959,"TAVG",2002,2023,"-35.7549","136.5959"
"ASN00023031",-34.9697,138.6331,"TAVG",1955,2023,"-34.9697","138.6331"
"ASN00023373",-34.4761,139.0056,"TAVG",1990,2023,"-34.4761","139.0056"
"ASN00024580",-35.2836,138.8934,"TAVG",1998,2023,"-35.2836","138.8934"
"ASN00026020",-37.8333,140.7833,"TAVG",1941,2023,"-37.8333","140.7833"
"ASN00026026",-37.1628,139.756,"TAVG",1990,2023,"-37.1628","139.7560"
"ASN00027045",-12.6778,141.9208,"TAVG",1993,2023,"-12.6778","141.9208"
"ASN00029077",-17.7483,139.5356,"TAVG",2003,2023,"-17.7483","139.5356"
"ASN00029126",-20.7361,139.4817,"TAVG",1966,2023,"-20.7361","139.4817"
"ASN00030124",-18.3039,143.5306,"TAVG",2004,2023,"-18.3039","143.5306"
"ASN00031010",-16.9333,145.7833,"TAVG",1942,2023,"-16.9333","145.7833"
"ASN00032040",-19.2483,146.7661,"TAVG",1948,2023,"-19.2483","146.7661"
"ASN00033119",-21.1172,149.2169,"TAVG",1943,2023,"-21.1172","149.2169"
"ASN00036031",-23.4372,144.2769,"TAVG",1942,2023,"-23.4372","144.2769"
"ASN00038026",-25.8975,139.3472,"TAVG",2001,2023,"-25.8975","139.3472"
"ASN00039083",-23.3753,150.4775,"TAVG",1939,2023,"-23.3753","150.4775"
"ASN00039123",-23.8553,151.2628,"TAVG",1957,2023,"-23.8553","151.2628"
"ASN00040223",-27.4178,153.1142,"TAVG",1944,2023,"-27.4178","153.1142"
"ASN00040908",-26.3911,153.0403,"TAVG",1998,2023,"-26.3911","153.0403"
