system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
27,3407.453,36677.82409,40,40.8008828,Booker T. Washington,-73.9636687,38.42698196,"{""type"":""Point"",""coordinates"":[-73.96366656113847,40.800881657455065]}",Aug-21
0000000000000000005c,5948.879,64033.73356,93,40.6656751,Southern Fields 01,-73.8270879,34.50651302,"{""type"":""Point"",""coordinates"":[-73.82708875497246,40.665677254413545]}",Aug-21
0000000000000000004b,5018.102,54014.84993,76,40.7473575,Flushing Meadow Corona Park 2,-73.8400339,40.05680783,"{""type"":""Point"",""coordinates"":[-73.84003352533063,40.747359067510565]}",Aug-21
52,7122.467,76666.23479,83,40.7560392,Hinton Park Fields 1 and 2,-73.8549347,44.73265919,"{""type"":""Point"",""coordinates"":[-73.85493584105124,40.756040937261616]}",Aug-21
36,5422.788,58370.89003,55,40.7824365,Randalls Island 72,-73.9289155,36.92846503,"{""type"":""Point"",""coordinates"":[-73.92891678662896,40.782434356396955]}",Aug-21
11,4492.011,48352.0064,18,40.6121875,Dyker Beach Park 2 (LL),-74.0148678,37.24377737,"{""type"":""Point"",""coordinates"":[-74.01486595943413,40.61218587817639]}",Aug-21
0000000000000000001a,10157.61,109336.514,27,40.6496372,Parade Ground Field 7,-73.9695991,39.74064098,"{""type"":""Point"",""coordinates"":[-73.96959716553954,40.6496378679243]}",Aug-21
17,9995.735,107594.0915,24,40.7200357,McCarren Park,-73.9512544,44.871089,"{""type"":""Point"",""coordinates"":[-73.95125242380567,40.720033696255044]}",Aug-21
0000000000000000005a,3233.438,34804.72663,91,40.7183828,Reiff Park 1,-73.901696,36.38927237,"{""type"":""Point"",""coordinates"":[-73.90169397469768,40.71838382886527]}",Aug-21
55,7931.839,85378.315,86,40.7457051,Kissena Corridor 01,-73.8169935,39.21768392,"{""type"":""Point"",""coordinates"":[-73.81699335018747,40.74570474101973]}",Aug-21
0000000000000000001f,5908.41,63598.12524,32,40.670924,Red Hook Recreation Area,-74.0025432,41.09246789,"{""type"":""Point"",""coordinates"":[-74.0025410041224,40.67092561635344]}",Aug-21
0,3051.33,32844.51612,1,40.8586188,Bronx Park East,-73.8716893,NA,"{""type"":""Point"",""coordinates"":[-73.87168868370904,40.85861809789509]}",Aug-21
45,5260.91,56628.43524,70,40.7940351,Thomas Jefferson Park,-73.9358098,39.0946352,"{""type"":""Point"",""coordinates"":[-73.93581055685759,40.79403693733803]}",Aug-21
0000000000000000000e,4208.731,45302.78048,15,40.6976595,Cadman Plaza,-73.9906515,36.79430774,"{""type"":""Point"",""coordinates"":[-73.99065304071392,40.69765792716885]}",Aug-21
59,4208.731,45302.78048,90,40.771861,Raymond O’Connor Park 01,-73.7794171,39.49112552,"{""type"":""Point"",""coordinates"":[-73.77941650561009,40.77186182779925]}",Aug-21
