system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date 
0000000000000000003e,5463.256,58806.48758,63,40.7858394,Randalls Island 90,-73.9311479,NA,"{""type"":""Point"",""coordinates"":[-73.93114633715568,40.7858411096018]}",Jul-13
0000000000000000003f,5463.256,58806.48758,64,40.7863476,Randalls Island 91,-73.9308053,NA,"{""type"":""Point"",""coordinates"":[-73.93080744547562,40.786349447121886]}",Jul-13
9,2699.253,29054.75929,10,40.8444439,West Bronx Recreation Center (Highbridge),-73.9195091,NA,"{""type"":""Point"",""coordinates"":[-73.91950808340619,40.84444261564618]}",Jul-13
0000000000000000000a,9064.958,97575.20791,11,40.8776371,Williamsbridge Oval,-73.8773577,NA,"{""type"":""Point"",""coordinates"":[-73.87735620114796,40.877636163888035]}",Jul-13
19,5955.638,64106.48353,26,40.6521462,Parade Ground Field 4,-73.9670914,40.03117268,"{""type"":""Point"",""coordinates"":[-73.9670911507475,40.65214834181739]}",Jul-13
21,7689.03,82764.71892,34,40.7065263,Stemberg Park Fields 1 and 2,-73.9472551,46.26564116,"{""type"":""Point"",""coordinates"":[-73.94725706926178,40.706527079164154]}",Jul-13
0000000000000000001c,6070.28,65340.49392,29,40.6504178,Parade Ground Field 9,-73.9676554,NA,"{""type"":""Point"",""coordinates"":[-73.96765745658129,40.65041821060864]}",Jul-13
43,1776.57,19122.99948,68,40.7184585,Sara D. Roosevelt Park (At Broome and Grand Station),-73.9932312,42.4442948,"{""type"":""Point"",""coordinates"":[-73.99323040112282,40.71845963358317]}",Jul-13
46,4411.074,47480.80054,71,40.7997961,Wagner Playground,-73.9348608,43.25607455,"{""type"":""Point"",""coordinates"":[-73.93486076833321,40.79979809589907]}",Jul-13
13,10886.04,117177.3346,20,40.6266311,Ft. Hamilton HS Athletic Field,-74.0373541,47.28762914,"{""type"":""Point"",""coordinates"":[-74.03735320604666,40.62662890648851]}",Jul-13
0000000000000000005e,5678.77,61126.28028,95,40.5926851,Blood Root Valley (Greenbelt),-74.1384622,38.5648421,"{""type"":""Point"",""coordinates"":[-74.13846332243354,40.59268622926969]}",Jul-13
0000000000000000003b,7446.216,80151.06902,60,40.7845498,Randalls Island 83,-73.9346431,NA,"{""type"":""Point"",""coordinates"":[-73.93464227238158,40.784547970296295]}",Jul-13
29,1764.429,18992.31376,42,40.8575315,Buczek Ballfield (2),-73.9243313,39.65519048,"{""type"":""Point"",""coordinates"":[-73.92433283074602,40.85753007723804]}",Jul-13
0000000000000000001d,6515.439,70132.1854,30,40.650705,Parade Ground 10,-73.9669191,NA,"{""type"":""Point"",""coordinates"":[-73.96691724580644,40.650703593076074]}",Jul-13
