system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
57,2674.972,28793.39861,88,40.7484742,Linden Park (Queens),-73.8619557,41.8290512,"{""type"":""Point"",""coordinates"":[-73.86195446610937,40.74847384277392]}",Jul-15
61,7648.559,82329.08908,98,40.575565,Midland Beach,-74.081959,44.67284384,"{""type"":""Point"",""coordinates"":[-74.08195759388427,40.57556328122445]}",Jul-15
34,7486.684,80586.66658,53,40.7942389,Randalls Island 10 (Icahn Stadium),-73.9243363,47.80716818,"{""type"":""Point"",""coordinates"":[-73.92433728984707,40.79423759688544]}",Jul-15
0000000000000000002d,6555.907,70567.78295,46,40.7189721,East River Park Field 5,-73.9739882,45.68457776,"{""type"":""Point"",""coordinates"":[-73.97398938007719,40.718972430204325]}",Jul-15
0000000000000000002a,5787.005,62291.32182,43,40.7153103,Columbus Park,-74.0001056,42.50240114,"{""type"":""Point"",""coordinates"":[-74.00010633494722,40.71531150823944]}",Jul-15
0000000000000000002b,5787.005,62291.32182,44,40.711994,East River Park Field 1,-73.9772131,40.30119626,"{""type"":""Point"",""coordinates"":[-73.97721331013884,40.711993937055674]}",Jul-15
32,11250.26,121097.7986,51,40.8059462,Harlem River Park Fields 1 and 2 (128th St.),-73.9337363,48.2378387,"{""type"":""Point"",""coordinates"":[-73.93373707486774,40.805947196251786]}",Jul-15
30,2298.614,24742.2811,49,40.8024313,Eugene McCabe Field,-73.9415909,42.89889146,"{""type"":""Point"",""coordinates"":[-73.94158955182286,40.802433424621675]}",Jul-15
24,522.045,5619.286998,37,40.7104199,Al Smith,-73.9975553,41.43256088,"{""type"":""Point"",""coordinates"":[-73.99755572914466,40.71041987438382]}",Jul-15
7,12261.97,131987.8451,8,40.8856566,Seton Park Ballfield,-73.9157858,37.80945968,"{""type"":""Point"",""coordinates"":[-73.91578473402656,40.88565808668318]}",Jul-15
0000000000000000001b,7365.279,79279.86316,28,40.6500339,Parade Ground Field 8,-73.9686266,43.90720736,"{""type"":""Point"",""coordinates"":[-73.9686250815099,40.65003472791805]}",Jul-15
28,3249.626,34978.97426,41,40.8570419,Buczek Ballfield,-73.9256815,47.37137063,"{""type"":""Point"",""coordinates"":[-73.92567947926416,40.857044035223225]}",Jul-15
0000000000000000005d,11331.2,121969.0368,94,40.759263,"St. Michael’s Fields 01, 1",-73.900273,45.89478599,"{""type"":""Point"",""coordinates"":[-73.90027152146162,40.75926486732326]}",Jul-15
8,772.95,8320.029494,9,40.8111858,St. Mary’s Park,-73.9108928,38.09144633,"{""type"":""Point"",""coordinates"":[-73.91089310017094,40.81118663998958]}",Jul-15
38,5503.725,59242.0959,57,40.7821656,Randalls Island 74,-73.9272845,47.03640467,"{""type"":""Point"",""coordinates"":[-73.9272847556434,40.78216681033376]}",Jul-15
0000000000000000002c,5341.85,57499.6734,45,40.7124987,East River Park Field 2,-73.9769214,40.00382852,"{""type"":""Point"",""coordinates"":[-73.97692346857036,40.71249781547472]}",Jul-15
0000000000000000004e,4572.948,49223.21227,79,40.7465091,Flushing Meadow Corona Park 7,-73.8416113,40.9061858,"{""type"":""Point"",""coordinates"":[-73.84161204710354,40.74650737920935]}",Jul-15
15,9145.896,98446.42454,22,40.5793905,Kaiser Park,-73.9966496,41.9828621,"{""type"":""Point"",""coordinates"":[-73.9966505316308,40.57938918992831]}",Jul-15
18,2938.018,31624.82575,25,40.6964696,Mclaughlin Park,-73.9854296,42.77926076,"{""type"":""Point"",""coordinates"":[-73.98543143338033,40.696471806288635]}",Jul-15
40,1533.759,16509.38188,65,40.8001116,Riverside Park @ 101st,-73.9739129,32.41582412,"{""type"":""Point"",""coordinates"":[-73.97391357535928,40.80011023297283]}",Jul-15
